,Name,Fat,Calories
0,gardettos special request garlic rye chips by general mills sales inc,9.999,170.0
1,doritos toasted corn tortilla chips 11 ounce bag by frito lay,7.0,140.0
2,lays dill pickle potato chips 95 ounce bag by frito lay,9.999,160.0
3,doritos nacho cheese tortilla chips 11 ounce bag by frito lay,8.0,140.0
4,doritos tapatio tortilla chips 10 ounce plastic bag by frito lay,8.0,140.0
5,lays wavy roasted garlic  sea salt potato chips 95 ounce bag by frito lay,9.999,160.0
6,lays wavy potato chips party size 1375 ounce plastic bag by frito lay,9.999,160.0
7,doritos dinamita nacho picoso rolled tortilla chips 1125 ounce plastic bag by frito lay,8.999,170.0
8,lays kettle cooked original potato chips 85 ounce plastic bag by frito lay,8.999,160.0
9,kangaroo whole grain pita chips 125 oz by conagra brands,5.002,160.0
10,doritos nacho cheese tortilla chips 175 ounce plastic bag by frito lay,14.002,240.0
11,food should taste good guacamole tortilla chips by general mills sales inc,5.001,130.0
12,food should taste good cheddar tortilla chips by general mills sales inc,5.001,130.0
13,doritos dinamita fiery habanero rolled tortilla chips 1125 ounces by frito lay,8.999,160.0
14,food should taste good guacamole tortilla chips by general mills sales inc,6.0,130.0
15,food should taste good cheddar tortilla chips by general mills sales inc,6.0,130.0
16,doritos tapatio hot sauce tortilla chips 11 ounce bag by frito lay,8.0,140.0
17,lays wavy ranch flavored potato chips 95 ounce bag by frito lay,9.999,160.0
18,lays kettle cooked party size original potato chips 14 ounce plastic bag by frito lay,8.999,150.0
19,doritos dinamita cjile limon sazonado flavored tortilla chips 4 ounce plastic bag by frito lay,8.0,140.0
20,lays stax hotn spicy barbecue flavored potato chips 55 ounce plastic canister by frito lay,7.0,140.0
21,lays kettle cooked sea salt  vinegar flavored potato chips 85 ounce plastic bags by frito lay,8.999,150.0
22,lays kettle cooked sea salt  cracked pepper flavored potato chips 85 ounce plastic bag by frito lay,8.999,150.0
