Name,Ash,Calcium,Calories,Carbohydrate,Copper,Fat,Iron,Magnesium,Potassium,Protein,Saturated_fatty_acids,Sodium,Vitamin_A_RAE,Vitamin_B6,Water,Zinc,Fatty_acids_total_trans,Manganese,Vitamin_D,Glycemic_Load,Completeness_Score,Amino_Acid_Score,Category,Sub_Category,cluster,Cohort
broccoli cooked chinese,0.7,88.0,19.0,3.35,0.05,0.634,0.49,15.84,229.68,1.0,0.097,6.16,72.16,0.062,82.32,0.34,0.0,0.232,0.0,1.0,93.0,,Foundation Foods,Tomatoes,3,Packaged
broccoli raw chinese,0.83,105.0,26.0,4.67,0.06,0.76,0.59,19.0,274.0,1.2,0.116,7.0,86.0,0.074,92.55,0.41,,,0.0,,,,Foundation Foods,Tomatoes,1,Whole Nutrient
catsup low sodium,0.5,2.55,17.0,4.66,0.01,0.017,0.06,2.21,47.77,0.18,0.002,3.4,4.42,0.027,11.65,0.03,0.0,0.014,0.0,26.0,47.0,,Branded Foods,Powdered_Drinks,1,Whole Nutrient
babyfood pear juice,0.07,3.74,13.0,3.7,0.02,0.0,0.0,2.5,40.56,0.0,0.0,2.5,0.0,0.003,27.42,0.02,,,0.0,1.0,25.0,0.0,Standard Reference Foods,Baked_Products,1,Whole Nutrient
dennys chicken strips,5.68,21.34,572.0,42.74,0.13,28.13,1.4,58.2,647.96,37.19,5.015,1548.12,27.16,0.906,80.26,1.38,0.242,0.442,,,,,Branded Foods,Honey,5,Unhealthy & Over-indulgent
bread toasted egg,0.57,28.92,89.0,14.91,0.05,1.871,0.95,5.95,35.72,2.98,0.458,118.22,19.56,0.018,8.02,0.24,,0.156,0.14,11.0,35.0,64.0,Foundation Foods,Tomatoes,0,Confectionaries
chrysanthemum raw garland,0.42,29.25,6.0,0.76,0.03,0.14,0.57,8.0,141.75,0.84,,29.5,29.0,0.044,22.85,0.18,0.0,0.236,0.0,0.0,88.0,,Branded Foods,Crusts_AND_Dough,2,Frozen & Preserved
onions raw welsh,0.7,18.0,34.0,6.5,0.07,0.4,1.22,23.0,212.0,1.9,0.067,17.0,,0.072,90.5,0.52,0.0,0.137,0.0,1.0,71.0,42.0,Branded Foods,,3,Packaged
whey fluid sweet,1.3,115.62,66.0,12.64,0.01,0.886,0.15,19.68,396.06,2.09,0.566,132.84,7.38,0.076,229.08,0.32,,0.002,,5.0,42.0,105.0,Branded Foods,,5,Unhealthy & Over-indulgent
egg dried white,1.48,17.36,107.0,2.18,0.03,0.0,0.04,24.64,315.0,22.71,0.0,358.4,0.0,0.01,1.62,0.03,,0.002,0.0,1.0,23.0,125.0,Branded Foods,Honey,5,Unhealthy & Over-indulgent
bratwurst cooked veal,0.67,9.24,286.0,0.0,0.07,26.628,0.62,13.44,194.04,11.75,12.55,50.4,0.0,0.258,44.95,1.72,,0.041,,0.0,22.0,139.0,Foundation Foods,Tomatoes,1,Whole Nutrient
broccoli raw leaves,0.92,48.0,28.0,5.06,0.04,0.35,0.88,25.0,325.0,2.98,0.054,27.0,,0.159,90.69,0.4,0.0,0.229,0.0,1.0,79.0,72.0,Foundation Foods,Tomatoes,0,Confectionaries
whey fluid acid,1.5,253.38,59.0,12.6,0.01,0.221,0.2,24.6,351.78,1.87,0.14,118.08,4.92,0.103,229.81,1.06,,0.005,,5.0,47.0,110.0,Branded Foods,,5,Unhealthy & Over-indulgent
ostrich cooked oyster,0.7,5.1,135.0,0.0,0.15,3.374,4.17,24.65,347.65,24.49,1.437,68.85,0.0,0.468,57.42,4.2,,0.02,,0.0,49.0,127.0,Branded Foods,,4,Keto & Strength
egg substitute powder,0.58,32.27,44.0,2.16,0.02,1.287,0.31,6.43,73.66,5.49,0.373,79.2,36.53,0.014,0.38,0.18,,0.008,0.0,1.0,45.0,,Branded Foods,Honey,5,Unhealthy & Over-indulgent
ice cream sandwich,0.77,60.2,166.0,26.0,0.18,5.999,0.18,20.3,80.5,3.0,1.622,90.3,60.2,0.02,34.23,0.42,,0.267,0.0,17.0,12.0,,Branded Foods,,3,Packaged
salami turkey cooked,0.47,11.2,48.0,0.43,0.05,2.579,0.35,6.16,60.48,5.38,0.779,309.96,0.56,0.12,19.26,0.65,0.0,0.006,0.17,0.0,45.0,115.0,Branded Foods,,2,Frozen & Preserved
