,Food,Matching Food,Category of Matching Food,Number of common flavor molecules
0,Bakery Products,Coffee,Beverage,6
1,Bakery Products,Cocoa,Seed,6
2,Bakery Products,Peanut,Nut,6
3,Bakery Products,Soybean,Legume,6
4,Bakery Products,Filbert,Nut,6
5,Bakery Products,Tea,Plant,6
6,Bakery Products,Potato,Vegetable,6
7,Bakery Products,Beer,Beverage,5
8,Bakery Products,Rum,Beverage,5
9,Bakery Products,Whisky,Beverage,5
10,Bakery Products,Bourbon Whisky Beverage,Whisky,5
11,Bakery Products,Canadian Whisky Beverage,Whisky,5
12,Bakery Products,Finnish Whisky Beverage,Whisky,5
13,Bakery Products,Japanese Whisky Beverage,Whisky,5
14,Bakery Products,Malt Whisky Beverage,Whisky,5
15,Bakery Products,Scotch Whisky Beverage,Whisky,5
16,Bakery Products,Barley,Cereal,5
17,Bakery Products,Malt,Cereal,4
18,Bakery Products,Rice,Cereal,4
19,Bakery Products,Popcorn,Maize,4
20,Bakery Products,Dairy,Products,4
21,Bakery Products,Crayfish,Seafood,4
22,Bakery Products,Shrimp,Seafood,4
23,Bakery Products,Fenugreek,Herb,4
24,Bakery Products,Beef,Processed,4
25,Bakery Products,Meat,Meat,4
26,Bakery Products,Pecans,Nut,4
27,Bakery Products,Kohlrabi,Cabbage,4
28,Bakery Products,Asparagus,Vegetable,4
29,Bakery Products,Egg,Animal,3
30,Bakery Products,Oats,Cereal,3
31,Bakery Products,Blue Cheese,Cheese,3
32,Bakery Products,Gruyere Cheese,Cheese,8
33,Bakery Products,Swiss Cheese,Cheese,3
34,Bakery Products,Clam,Seafood,3
35,Bakery Products,Squid,Seafood,3
36,Bakery Products,Coconut,Fruit,3
37,Bakery Products,Mushroom,Fungus,3
38,Bakery Products,Wort,Beverage,2
39,Bakery Products,Sherry Beverage,Beverage,2
40,Bakery Products,Corn,Maize,2
41,Bakery Products,Sweetcorn,Maize,2
42,Bakery Products,Cheese,Dairy,2
43,Bakery Products,Camembert Cheese,Cheese,2
44,Bakery Products,Cheddar Cheese,Cheese,2
45,Bakery Products,Comte Cheese,Cheese,9
46,Bakery Products,Cottage Cheese,Cheese,2
47,Bakery Products,Cream Cheese,Cheese,2
48,Bakery Products,Domiati Cheese,Cheese,2
49,Bakery Products,Emmental Cheese,Cheese,2
50,Bakery Products,Feta Cheese,Cheese,2
51,Bakery Products,Goat Cheese,Cheese,2
52,Bakery Products,Limburger Cheese,Cheese,2
53,Bakery Products,Mozzarella Cheese,Cheese,2
54,Bakery Products,Munster Cheese,Cheese,2
55,Bakery Products,Other Cheeses,Cheeses,2
56,Bakery Products,Parmesan Cheese,Cheese,2
57,Bakery Products,Provolone Cheese,Cheese,2
58,Bakery Products,Romano Cheese,Cheese,2
59,Bakery Products,Roquefort Cheese,Cheese,2
60,Bakery Products,Russian Cheese,Cheese,2
61,Bakery Products,Sheep Cheese,Cheese,2
62,Bakery Products,Tilsit Cheese,Cheese,2
63,Bakery Products,Scallop,Seafood,2
64,Bakery Products,Guava,Fruit,2
65,Bakery Products,Papaya,Fruit,2
66,Bakery Products,Pork,Meat,2
67,Bakery Products,Almond,Nut,2
68,Bakery Products,Beans,Legume,2
69,Bakery Products,Lima Beans,Beans,2
70,Bakery Products,Kidney Beans,Beans,2
71,Bakery Products,Macadamia Nut,Nut,2
72,Bakery Products,Sesame,Seed,2
73,Bakery Products,Green Beans,Beans,2
74,Bakery Products,Okra,Vegetable,2
75,Bakery Products,Capsicum Vegetable,Vegetable,2
76,Bakery Products,Fried Potato,Potato,2
77,Bakery Products,Poppy Seed,Seed,2
78,Bakery Products,Wheaten Bread,Bread,1
79,Bakery Products,Mate Beverage,Beverage,1
80,Bakery Products,Black Tea Beverage,Tea,1
81,Bakery Products,Green Tea Beverage,Tea,1
82,Bakery Products,Crispbread,Cereal,1
83,Bakery Products,Butter,Dairy,1
84,Bakery Products,Milk,Dairy,1
85,Bakery Products,Crab,Seafood,1
86,Bakery Products,Krill,Seafood,1
87,Bakery Products,Trassi,Seafood,1
88,Bakery Products,Fatty Fish,Fish,1
