,Food Name,Glycemic Load,Completeness Score,Amino Acid Score
0,nutritional powder mix sugar free,,,
1,kelloggs special k cereal chocolate,,,
2,cheese mini pepperoni pizza bagels,,,
3,snacks chocolate chip milk coating,12.0,20.0,98.0
4,craver taco ranch sauce mild,,,
5,organic quiona,,,
6,craft iced tea green beverage,,,
7,bartlett pear halves in water,,,
8,chica de gallo hot salsa,,,
9,pace dips chipotle,,,
10,passionfruit juice raw yellow,,,
11,potato readytoheat hash brown,,,
12,larabar caramel sea salt fruit,,,
13,premium dill pickle slices,,,
14,flounder no added fat fried,,,
15,chicken or turkey caesar garden,,,
16,claim jumper razzleberry pie,,,
17,buckwheat pasta rotini,,,
18,chili con carne with beans,11.0,61.0,
19,tropicana pure premium orange juice,,,
20,durum wheat semolina macaroni product,,,
21,chicken or turkey and vegetables,,,
22,oil salad or cooking cottonseed,0.0,3.0,0.0
23,farmland extra tender vacuum packaged,,,
24,enriched medium grain rice,113.0,27.0,71.0
25,agave with stevia extract,,,
26,passion fruit electrolyte drink mix,,,
27,pizza cooked frozen rising crust,138.0,45.0,103.0
28,lamb raw trimmed to fat,0.0,33.0,141.0
29,egg cheese and bacon on,,,
30,infant formula made with tap,,,
31,rockstar pure zero silver ice,,,
32,venison or deer and noodles,,,
33,cocacola cherry bottle fl,,,
34,egg fresh raw whole,1.0,52.0,139.0
35,stewed mexican style ground beef,,,
36,grape juice,1.0,23.0,
37,gamesa barra de coco coconut,,,
38,turkey cheddar sandwich,24.0,22.0,
39,lamb raw separable lean and,0.0,33.0,141.0
40,italian style seasoned crumbs,,,
41,lemon lime electrolyte solution,,,
42,guava splash flavored replenish electrolyte,,,
43,turkey dinner frozen meal not,,,
44,broccoli no added fat cooked,,,
45,beans in chili sauce,,,
46,alfredo sauce with meat and,,,
47,milk with added vitamin a,2.0,40.0,137.0
48,everyday value fig balsamic dressing,,,
49,empanada filled with meat and,,,
50,beef raw all grades trimmed,0.0,41.0,94.0
51,combination sausage pepperoni pizza wrapped,,,
52,campbells soup beef barley,10.0,33.0,
53,coconut water with a pomegranate,,,
54,combination sausage made with pork,,,
55,black forest smoked ham,,,
56,turkey or chicken reduced sodium,,,
57,ham and cheese submarine sandwich,,,
58,infant formula reconstituted with ara,2.0,55.0,
59,apinya thai chili sauce,,,
60,whole grain pasta,,,
61,diet green tea,,,
62,herbal tea beverage,,,
63,potato not further speficied home,,,
64,gardenburger meal solutions original ct,,,
65,cheesy beef pasta hamburger helper,,,
66,cream of wheat fat added,,,
67,bean hummus trio,,,
68,ethnic gourmet bombay curry simmer,,,
69,gravy savory beef heinz home,1.0,25.0,70.0
70,turkey tomato and spread with,,,
71,butterball thick sliced white turkey,,,
